split,method,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
combined_contact_stress,active_tactile_probe_then_plan,2880,0.534028,0.365972,0.199653,0.628125,0.032292,0.195833,0.042840,0.512473,0.260716,-0.218018,0.199575,0.000000
combined_contact_stress,adaptive_impedance_mpc,2880,0.446528,0.322569,0.180208,0.392708,0.056597,0.261458,0.036752,0.402553,0.343869,-0.203022,0.104175,0.000000
combined_contact_stress,conformal_risk_filter,2880,0.284722,0.348264,0.204861,0.282639,0.059375,0.367361,0.015887,0.383222,0.495828,-0.419241,0.105075,0.000000
combined_contact_stress,contact_mode_hmm_mpc,2880,0.443750,0.392014,0.215625,0.464931,0.066667,0.256944,0.042830,0.360043,0.337751,-0.318776,0.104475,0.000000
combined_contact_stress,diffusion_policy_force_history,2880,0.301389,0.513194,0.326736,0.307986,0.077083,0.354514,0.054071,0.244903,0.494688,-0.727330,0.072675,0.000000
combined_contact_stress,ensemble_uncertainty_mpc,2880,0.317014,0.451736,0.265625,0.323958,0.071181,0.368750,0.030319,0.297832,0.481918,-0.560216,0.092775,0.000000
combined_contact_stress,force_history_behavior_cloning,2880,0.201389,0.576736,0.369097,0.190278,0.089931,0.403819,0.051555,0.153913,0.593894,-0.925327,0.066375,0.000000
combined_contact_stress,observation_only_transformer,2880,0.115625,0.578472,0.396528,0.112500,0.065625,0.440972,0.034416,0.119513,0.689860,-1.058147,0.060375,0.000000
combined_contact_stress,online_residual_system_id,2880,0.420486,0.419792,0.240972,0.408333,0.068056,0.237500,0.048142,0.364072,0.347571,-0.356455,0.097575,0.000000
combined_contact_stress,oracle_latent_force_planner,2880,0.854514,0.217014,0.084375,0.783333,0.023264,0.098611,0.020266,0.313178,0.000051,0.480191,0.130425,0.000000
combined_contact_stress,particle_filter_force_belief_mpc,2880,0.540278,0.367361,0.211806,0.556944,0.060069,0.222222,0.039690,0.438842,0.253932,-0.160515,0.116475,0.000000
combined_contact_stress,proposed_force_memory_transformer_v4,2880,0.568403,0.379167,0.221528,0.576389,0.063194,0.199306,0.051529,0.360433,0.221613,-0.184057,0.134775,0.000000
combined_contact_stress,recurrent_contact_policy,2880,0.277431,0.524306,0.355556,0.254861,0.092361,0.369792,0.060424,0.189253,0.519443,-0.793554,0.071175,0.000000
combined_contact_stress,risk_calibrated_force_memory_transformer_v5,2880,0.727778,0.258681,0.120833,0.729514,0.027083,0.136111,0.019756,0.403052,0.075539,0.220161,0.158175,0.000000
combined_contact_stress,robust_force_threshold_mpc,2880,0.267014,0.332639,0.187847,0.207986,0.057639,0.393056,0.015811,0.360653,0.533330,-0.418712,0.089175,0.000000
delayed_force_observation,active_tactile_probe_then_plan,2880,0.535417,0.264583,0.145486,0.637847,0.027431,0.143750,0.031800,0.500152,0.285887,-0.040648,0.191175,0.000000
delayed_force_observation,adaptive_impedance_mpc,2880,0.442708,0.237847,0.118750,0.386806,0.037847,0.243403,0.022458,0.390232,0.383524,-0.041424,0.095775,0.000000
delayed_force_observation,conformal_risk_filter,2880,0.324653,0.253125,0.138542,0.318750,0.048958,0.352083,0.006949,0.370902,0.496549,-0.215494,0.096675,0.000000
delayed_force_observation,contact_mode_hmm_mpc,2880,0.464236,0.294444,0.178819,0.477778,0.044097,0.219097,0.029434,0.347722,0.362426,-0.140554,0.096075,0.000000
delayed_force_observation,diffusion_policy_force_history,2880,0.326389,0.433681,0.268056,0.318056,0.060417,0.328819,0.029743,0.232582,0.498379,-0.528172,0.064275,0.000000
delayed_force_observation,ensemble_uncertainty_mpc,2880,0.354514,0.332639,0.216667,0.338542,0.051389,0.345486,0.013519,0.285512,0.484713,-0.357543,0.084375,0.000000
delayed_force_observation,force_history_behavior_cloning,2880,0.232292,0.460417,0.310764,0.208681,0.069097,0.382639,0.023504,0.141593,0.589308,-0.714340,0.057975,0.000000
delayed_force_observation,observation_only_transformer,2880,0.145486,0.488194,0.325347,0.126736,0.045833,0.403819,0.016450,0.107192,0.683676,-0.846754,0.051975,0.000000
delayed_force_observation,online_residual_system_id,2880,0.432986,0.304167,0.194097,0.431597,0.050347,0.215625,0.032334,0.351753,0.385368,-0.189662,0.089175,0.000000
delayed_force_observation,oracle_latent_force_planner,2880,0.835069,0.126042,0.031250,0.805208,0.025000,0.073611,0.016229,0.300858,0.005317,0.626756,0.122025,0.000000
delayed_force_observation,particle_filter_force_belief_mpc,2880,0.525000,0.259028,0.146528,0.584028,0.049306,0.181944,0.029035,0.426523,0.282364,0.014467,0.108075,0.000000
delayed_force_observation,proposed_force_memory_transformer_v4,2880,0.603472,0.306597,0.160764,0.599306,0.044444,0.163889,0.038469,0.348112,0.240284,-0.000439,0.126375,0.000000
delayed_force_observation,recurrent_contact_policy,2880,0.300347,0.445833,0.291319,0.269444,0.070139,0.315625,0.032673,0.176933,0.518668,-0.587869,0.062775,0.000000
delayed_force_observation,risk_calibrated_force_memory_transformer_v5,2880,0.719097,0.170139,0.071181,0.738889,0.021875,0.108681,0.015495,0.390733,0.107366,0.388175,0.149775,0.000000
delayed_force_observation,robust_force_threshold_mpc,2880,0.291667,0.248958,0.121181,0.230903,0.047569,0.363889,0.011058,0.348333,0.537006,-0.218906,0.080775,0.000000
embodiment_force_limit_shift,active_tactile_probe_then_plan,2880,0.584722,0.185417,0.096875,0.667361,0.025000,0.118056,0.023786,0.498392,0.251071,0.153711,0.189975,0.000000
embodiment_force_limit_shift,adaptive_impedance_mpc,2880,0.502083,0.153472,0.068403,0.409375,0.036458,0.206597,0.013675,0.388472,0.334703,0.167947,0.094575,0.000000
embodiment_force_limit_shift,conformal_risk_filter,2880,0.375694,0.194097,0.088542,0.341319,0.036806,0.292361,0.009058,0.369142,0.478603,-0.038800,0.095475,0.000000
embodiment_force_limit_shift,contact_mode_hmm_mpc,2880,0.487153,0.213889,0.121528,0.504167,0.039236,0.186806,0.020233,0.345963,0.327548,0.052978,0.094875,0.000000
embodiment_force_limit_shift,diffusion_policy_force_history,2880,0.357986,0.341319,0.225694,0.357292,0.069444,0.267361,0.017246,0.230823,0.478218,-0.346880,0.063075,0.000000
embodiment_force_limit_shift,ensemble_uncertainty_mpc,2880,0.351736,0.257292,0.163194,0.356944,0.046181,0.277083,0.008738,0.283752,0.466627,-0.180400,0.083175,0.000000
embodiment_force_limit_shift,force_history_behavior_cloning,2880,0.239931,0.386806,0.262847,0.235069,0.063889,0.304514,0.015229,0.139832,0.575805,-0.540087,0.056775,0.000000
embodiment_force_limit_shift,observation_only_transformer,2880,0.159028,0.411111,0.282292,0.148611,0.043056,0.364931,0.020773,0.105432,0.670185,-0.671258,0.050775,0.000000
embodiment_force_limit_shift,online_residual_system_id,2880,0.488889,0.233681,0.126389,0.462153,0.045486,0.189583,0.021401,0.349992,0.339893,0.012745,0.087975,0.000000
embodiment_force_limit_shift,oracle_latent_force_planner,2880,0.891667,0.047222,0.006944,0.823264,0.020139,0.046181,0.012698,0.299098,0.000011,0.806429,0.120825,0.000000
embodiment_force_limit_shift,particle_filter_force_belief_mpc,2880,0.583333,0.175694,0.092361,0.601389,0.047222,0.147222,0.021134,0.424763,0.245459,0.208418,0.106875,0.000000
embodiment_force_limit_shift,proposed_force_memory_transformer_v4,2880,0.618056,0.207292,0.127431,0.617014,0.051389,0.129514,0.028691,0.346353,0.213155,0.184814,0.125175,0.000000
embodiment_force_limit_shift,recurrent_contact_policy,2880,0.322917,0.364236,0.256250,0.286111,0.064931,0.291319,0.019346,0.175172,0.502695,-0.411541,0.061575,0.000000
embodiment_force_limit_shift,risk_calibrated_force_memory_transformer_v5,2880,0.748958,0.103125,0.023264,0.736806,0.023611,0.087153,0.011990,0.388972,0.070242,0.576692,0.148575,0.000000
embodiment_force_limit_shift,robust_force_threshold_mpc,2880,0.312153,0.169444,0.064583,0.225694,0.048611,0.309722,0.017588,0.346573,0.516182,-0.036022,0.079575,0.000000
extreme_unseen_force_mode,active_tactile_probe_then_plan,2880,0.531944,0.409722,0.238542,0.594097,0.040625,0.188194,0.049240,0.515993,0.253177,-0.315276,0.201975,0.000000
extreme_unseen_force_mode,adaptive_impedance_mpc,2880,0.446181,0.381944,0.195486,0.371875,0.068403,0.281944,0.044841,0.406073,0.329549,-0.296396,0.106575,0.000000
extreme_unseen_force_mode,conformal_risk_filter,2880,0.295486,0.401042,0.213889,0.279861,0.057639,0.397222,0.023897,0.386743,0.496855,-0.526199,0.107475,0.000000
extreme_unseen_force_mode,contact_mode_hmm_mpc,2880,0.463194,0.442361,0.251042,0.465278,0.070486,0.280903,0.050653,0.363562,0.330156,-0.418756,0.106875,0.000000
extreme_unseen_force_mode,diffusion_policy_force_history,2880,0.292014,0.563542,0.363889,0.287847,0.093750,0.361111,0.067832,0.248422,0.494608,-0.835998,0.075075,0.000000
extreme_unseen_force_mode,ensemble_uncertainty_mpc,2880,0.302778,0.492361,0.280903,0.327778,0.070833,0.349653,0.040117,0.301353,0.481886,-0.667221,0.095175,0.000000
extreme_unseen_force_mode,force_history_behavior_cloning,2880,0.174653,0.636111,0.390625,0.188889,0.104514,0.400694,0.067512,0.157433,0.596631,-1.036485,0.068775,0.000000
extreme_unseen_force_mode,observation_only_transformer,2880,0.088194,0.620486,0.402431,0.117708,0.088194,0.427431,0.051486,0.123033,0.694259,-1.171361,0.062775,0.000000
extreme_unseen_force_mode,online_residual_system_id,2880,0.461458,0.440625,0.253125,0.388889,0.082292,0.268056,0.057165,0.367592,0.335733,-0.452105,0.099975,0.000000
extreme_unseen_force_mode,oracle_latent_force_planner,2880,0.873611,0.264931,0.115278,0.788542,0.025694,0.099306,0.022626,0.316697,0.000010,0.392428,0.132825,0.000000
extreme_unseen_force_mode,particle_filter_force_belief_mpc,2880,0.526389,0.393750,0.227778,0.560764,0.055556,0.211458,0.045913,0.442362,0.245564,-0.258002,0.118875,0.000000
extreme_unseen_force_mode,proposed_force_memory_transformer_v4,2880,0.584722,0.424653,0.247917,0.569444,0.065972,0.223958,0.059113,0.363952,0.217111,-0.287563,0.137175,0.000000
extreme_unseen_force_mode,recurrent_contact_policy,2880,0.269444,0.597222,0.364236,0.247917,0.108333,0.368750,0.076062,0.192773,0.521092,-0.905388,0.073575,0.000000
extreme_unseen_force_mode,risk_calibrated_force_memory_transformer_v5,2880,0.733333,0.311111,0.146181,0.703472,0.027431,0.149653,0.022198,0.406573,0.064240,0.126843,0.160575,0.000000
extreme_unseen_force_mode,robust_force_threshold_mpc,2880,0.246875,0.396181,0.205903,0.191319,0.067708,0.406250,0.025910,0.364172,0.533274,-0.526850,0.091575,0.000000
hidden_preload_shift,active_tactile_probe_then_plan,2880,0.550694,0.177083,0.086111,0.626389,0.019792,0.147222,0.019119,0.499273,0.279631,0.169691,0.190575,0.000000
hidden_preload_shift,adaptive_impedance_mpc,2880,0.445486,0.137500,0.052778,0.401389,0.042708,0.228819,0.008728,0.389353,0.378887,0.166450,0.095175,0.000000
hidden_preload_shift,conformal_risk_filter,2880,0.350000,0.154514,0.070139,0.320486,0.037500,0.334028,0.014455,0.370023,0.485704,-0.001695,0.096075,0.000000
hidden_preload_shift,contact_mode_hmm_mpc,2880,0.486111,0.196875,0.106944,0.492361,0.044792,0.217014,0.014501,0.346843,0.356396,0.068507,0.095475,0.000000
hidden_preload_shift,diffusion_policy_force_history,2880,0.340625,0.311806,0.212153,0.299306,0.062153,0.292014,0.012140,0.231702,0.488655,-0.312413,0.063675,0.000000
hidden_preload_shift,ensemble_uncertainty_mpc,2880,0.343056,0.253125,0.142361,0.339931,0.044792,0.318750,0.009923,0.284633,0.474872,-0.144027,0.083775,0.000000
hidden_preload_shift,force_history_behavior_cloning,2880,0.279514,0.370833,0.253472,0.201736,0.057292,0.342708,0.018049,0.140713,0.577786,-0.497399,0.057375,0.000000
hidden_preload_shift,observation_only_transformer,2880,0.165625,0.392708,0.256250,0.137500,0.042361,0.381597,0.033980,0.106313,0.670951,-0.627474,0.051375,0.000000
hidden_preload_shift,online_residual_system_id,2880,0.464583,0.207986,0.117708,0.423264,0.042708,0.219792,0.014736,0.350872,0.379537,0.016747,0.088575,0.000000
hidden_preload_shift,oracle_latent_force_planner,2880,0.847222,0.028819,0.003125,0.814583,0.021528,0.084028,0.011209,0.299977,0.004777,0.783696,0.121425,0.000000
hidden_preload_shift,particle_filter_force_belief_mpc,2880,0.552778,0.162847,0.081250,0.567014,0.048611,0.190972,0.016548,0.425642,0.276514,0.220792,0.107475,0.000000
hidden_preload_shift,proposed_force_memory_transformer_v4,2880,0.596181,0.185417,0.101389,0.596528,0.039236,0.171181,0.023423,0.347233,0.235180,0.207551,0.125775,0.000000
hidden_preload_shift,recurrent_contact_policy,2880,0.317014,0.364236,0.228472,0.259722,0.055556,0.333333,0.013420,0.176053,0.507249,-0.370570,0.062175,0.000000
hidden_preload_shift,risk_calibrated_force_memory_transformer_v5,2880,0.743750,0.069097,0.016319,0.732986,0.017361,0.115278,0.010461,0.389853,0.103009,0.582757,0.149175,0.000000
hidden_preload_shift,robust_force_threshold_mpc,2880,0.294444,0.146528,0.056597,0.214583,0.041319,0.359722,0.027459,0.347452,0.526593,-0.003802,0.080175,0.000000
memory_reset_trap,active_tactile_probe_then_plan,2880,0.565972,0.219097,0.114583,0.633333,0.036806,0.129861,0.026847,0.505432,0.255294,0.070627,0.194775,0.000000
memory_reset_trap,adaptive_impedance_mpc,2880,0.480208,0.181597,0.088194,0.414583,0.062153,0.216667,0.016827,0.395512,0.343264,0.079064,0.099375,0.000000
memory_reset_trap,conformal_risk_filter,2880,0.336111,0.212153,0.109375,0.320486,0.054861,0.322222,0.007537,0.376182,0.477264,-0.117076,0.100275,0.000000
memory_reset_trap,contact_mode_hmm_mpc,2880,0.504167,0.260417,0.149653,0.483681,0.066667,0.215625,0.023511,0.353003,0.331338,-0.031794,0.099675,0.000000
memory_reset_trap,diffusion_policy_force_history,2880,0.343750,0.367014,0.245833,0.323611,0.090625,0.303819,0.021502,0.237863,0.479854,-0.430816,0.067875,0.000000
memory_reset_trap,ensemble_uncertainty_mpc,2880,0.347569,0.310069,0.188889,0.353819,0.067014,0.289931,0.009852,0.290792,0.465432,-0.259316,0.087975,0.000000
memory_reset_trap,force_history_behavior_cloning,2880,0.248264,0.422222,0.280903,0.201042,0.104861,0.353819,0.017230,0.146872,0.574086,-0.622544,0.061575,0.000000
memory_reset_trap,observation_only_transformer,2880,0.142014,0.435069,0.298611,0.141319,0.078125,0.380903,0.018387,0.112472,0.670089,-0.755142,0.055575,0.000000
memory_reset_trap,online_residual_system_id,2880,0.482292,0.263194,0.147917,0.442708,0.076042,0.220486,0.025544,0.357032,0.347110,-0.074486,0.092775,0.000000
memory_reset_trap,oracle_latent_force_planner,2880,0.883681,0.075347,0.013889,0.815625,0.020486,0.056944,0.013957,0.306138,0.000064,0.742713,0.125625,0.000000
memory_reset_trap,particle_filter_force_belief_mpc,2880,0.559028,0.211458,0.108333,0.592014,0.057639,0.177431,0.024045,0.431802,0.249880,0.127213,0.111675,0.000000
memory_reset_trap,proposed_force_memory_transformer_v4,2880,0.597917,0.246181,0.130208,0.605556,0.060069,0.154514,0.032336,0.353393,0.214618,0.103113,0.129975,0.000000
memory_reset_trap,recurrent_contact_policy,2880,0.332986,0.405556,0.267708,0.284722,0.097917,0.328125,0.023287,0.182212,0.502408,-0.495045,0.066375,0.000000
memory_reset_trap,risk_calibrated_force_memory_transformer_v5,2880,0.754514,0.107986,0.038194,0.730208,0.029167,0.114583,0.013345,0.396012,0.073268,0.503234,0.153375,0.000000
memory_reset_trap,robust_force_threshold_mpc,2880,0.298264,0.196181,0.092014,0.226389,0.067708,0.338889,0.014768,0.353613,0.517107,-0.118579,0.084375,0.000000
nominal_contact,active_tactile_probe_then_plan,2880,0.595833,0.071875,0.020833,0.670139,0.012847,0.086458,0.008331,0.481673,0.284427,0.402236,0.178575,0.000000
nominal_contact,adaptive_impedance_mpc,2880,0.475694,0.027431,0.007292,0.426736,0.040625,0.166667,0.009062,0.371752,0.387647,0.375841,0.083175,0.000000
nominal_contact,conformal_risk_filter,2880,0.376042,0.055903,0.011806,0.338194,0.029514,0.262153,0.027692,0.352422,0.481914,0.239681,0.084075,0.000000
nominal_contact,contact_mode_hmm_mpc,2880,0.529861,0.095833,0.046528,0.521528,0.033333,0.173611,0.006257,0.329243,0.361607,0.304626,0.083475,0.000000
nominal_contact,diffusion_policy_force_history,2880,0.390278,0.213889,0.155903,0.362847,0.039583,0.250347,0.022160,0.214103,0.486112,-0.064783,0.051675,0.000000
nominal_contact,ensemble_uncertainty_mpc,2880,0.393056,0.135417,0.078819,0.385764,0.045139,0.254167,0.023777,0.267032,0.472201,0.103939,0.071775,0.000000
nominal_contact,force_history_behavior_cloning,2880,0.310069,0.257986,0.196875,0.238194,0.046875,0.298611,0.040311,0.123113,0.572202,-0.245799,0.045375,0.000000
nominal_contact,observation_only_transformer,2880,0.200694,0.281597,0.198264,0.164583,0.034722,0.317361,0.062557,0.088712,0.664086,-0.375440,0.039375,0.000000
nominal_contact,online_residual_system_id,2880,0.492361,0.106944,0.047569,0.453125,0.043403,0.169444,0.007548,0.333272,0.388425,0.253440,0.076575,0.000000
nominal_contact,oracle_latent_force_planner,2880,0.871875,0.000694,0.000347,0.840625,0.023958,0.027083,0.006786,0.282378,0.011438,0.850537,0.109425,0.001042
nominal_contact,particle_filter_force_belief_mpc,2880,0.602778,0.047569,0.019792,0.600694,0.035069,0.140625,0.006713,0.408043,0.282882,0.448629,0.095475,0.000000
nominal_contact,proposed_force_memory_transformer_v4,2880,0.630208,0.083333,0.037500,0.617708,0.040625,0.115278,0.010167,0.329633,0.237435,0.446926,0.113775,0.000347
nominal_contact,recurrent_contact_policy,2880,0.364236,0.234722,0.157639,0.311458,0.046181,0.255903,0.026485,0.158452,0.503089,-0.122301,0.050175,0.000000
nominal_contact,risk_calibrated_force_memory_transformer_v5,2880,0.746875,0.002431,0.002083,0.749306,0.022222,0.066319,0.005917,0.372252,0.112020,0.709740,0.137175,0.000000
nominal_contact,robust_force_threshold_mpc,2880,0.350694,0.049306,0.011458,0.238889,0.028819,0.279514,0.046417,0.329853,0.523605,0.224799,0.068175,0.000000
sensor_dropout_contact_shift,active_tactile_probe_then_plan,2880,0.556250,0.248611,0.134375,0.643056,0.039236,0.147917,0.029483,0.502352,0.273169,0.017650,0.192675,0.000000
sensor_dropout_contact_shift,adaptive_impedance_mpc,2880,0.439236,0.194792,0.101736,0.384722,0.049653,0.227431,0.020150,0.392433,0.367497,0.019668,0.097275,0.000000
sensor_dropout_contact_shift,conformal_risk_filter,2880,0.334722,0.247222,0.117361,0.301736,0.050694,0.325347,0.007152,0.373103,0.486378,-0.160613,0.098175,0.000000
sensor_dropout_contact_shift,contact_mode_hmm_mpc,2880,0.471181,0.254167,0.143750,0.495486,0.052778,0.221181,0.026788,0.349923,0.349988,-0.083797,0.097575,0.000000
sensor_dropout_contact_shift,diffusion_policy_force_history,2880,0.359375,0.401042,0.253125,0.305903,0.076736,0.307639,0.026296,0.234782,0.489206,-0.473488,0.065775,0.000000
sensor_dropout_contact_shift,ensemble_uncertainty_mpc,2880,0.343403,0.311111,0.198958,0.344444,0.052083,0.317014,0.012113,0.287712,0.475227,-0.303311,0.085875,0.000000
sensor_dropout_contact_shift,force_history_behavior_cloning,2880,0.252431,0.454167,0.286806,0.207986,0.072917,0.353819,0.020499,0.143792,0.580501,-0.662161,0.059475,0.000000
sensor_dropout_contact_shift,observation_only_transformer,2880,0.149653,0.482292,0.292708,0.129167,0.057986,0.397569,0.016585,0.109392,0.674811,-0.793226,0.053475,0.000000
sensor_dropout_contact_shift,online_residual_system_id,2880,0.474653,0.280208,0.168403,0.426736,0.066667,0.230208,0.029152,0.353952,0.368409,-0.129210,0.090675,0.000000
sensor_dropout_contact_shift,oracle_latent_force_planner,2880,0.854861,0.094097,0.025347,0.812153,0.023611,0.077083,0.015035,0.303057,0.001647,0.684220,0.123525,0.000000
sensor_dropout_contact_shift,particle_filter_force_belief_mpc,2880,0.562500,0.242014,0.120139,0.569444,0.054514,0.191319,0.026564,0.428723,0.268613,0.071460,0.109575,0.000000
sensor_dropout_contact_shift,proposed_force_memory_transformer_v4,2880,0.611111,0.259722,0.167361,0.596875,0.044097,0.162153,0.035504,0.350313,0.229339,0.053986,0.127875,0.000000
sensor_dropout_contact_shift,recurrent_contact_policy,2880,0.315278,0.418056,0.282986,0.269444,0.090972,0.327083,0.028895,0.179132,0.508745,-0.533796,0.064275,0.000000
sensor_dropout_contact_shift,risk_calibrated_force_memory_transformer_v5,2880,0.742014,0.155208,0.055208,0.726042,0.021528,0.116319,0.014447,0.392932,0.093374,0.447310,0.151275,0.000000
sensor_dropout_contact_shift,robust_force_threshold_mpc,2880,0.298611,0.227431,0.109375,0.217708,0.054167,0.366319,0.012200,0.350532,0.526799,-0.163157,0.082275,0.000000
